index,response
0,'alan wake 2' is a digital game on brenna's epic games account id g110
1,'armored core vi' is a ps5 game owned by tom it's in the media cabinet id g109
2,'assassin's creed mirage' is a ps5 game owned by brenna it's on the game shelf id g118
3,'atomic habits' is an audiobook in brenna's audible account id a011
4,'baldur's gate 3' is a steam game owned by brenna it's digital id g102
5,'becoming' is an audiobook in brenna's audible account id a006
6,'black mirror' is a digital series on tom's netflix account id s004
7,'blade runner 2049' bluray is in the media shelf brenna's copy id d029
8,'blade runner 2049' is a bluray that tom owns it's in the top drawer of the tv console id d006
9,'blade runner 2049' was lent to john he said he'd return it soon id d006
10,'breath of the wild' is a switch game that tom owns it's in the game case id g031
11,'call the midwife' bluray set is with anna she borrowed it recently id d048
12,'call the midwife' is a bluray set owned by brenna it's in the drama section of the dvd shelf id d048
13,'celeste' is a digital game on switch that both tom and brenna play shared ownership id g030
14,'coco' is a dvd in the kids' movie binder brenna owns it id d020
15,'cyberpunk 2077' is missing we can't find it in the steam library id g012
16,'dark souls iii' is a ps5 game owned by tom it's in the media cabinet id g036
17,'dead space 2023' is a ps5 game owned by brenna it's on the game shelf id g122
18,'diablo iv' is a digital game on tom's battlenet account id g108
19,'doctor who' is a digital series on brenna's amazon prime account id s001
20,'downton abbey' bluray set is with claire she borrowed it last month id d045
21,'downton abbey' is a bluray set owned by brenna it's in the drama section of the dvd shelf id d045
22,'dune' hardcover is available on the living room shelf id b001
23,'educated' is on audible under brenna's account id a005
24,'elden ring' is a ps5 game owned by tom it's in the media cabinet id g106
25,'fawlty towers' is a dvd set owned by tom it's in the classic comedy section of the media cabinet id d051
26,'final fantasy xvi' is a ps5 game owned by brenna it's on the game shelf id g107
27,'forza motorsport' is a digital game on tom's xbox game pass account id g117
28,'frozen ii' dvd is with brenna in her room id d013
29,'frozen' dvd is missing it was supposed to be in the kids' movie binder id d016
30,'frozen' is a dvd in the kids' movie binder brenna owns it id d016
31,'gone girl' hardcover is currently missing last seen months ago id b014
32,'gone girl' is actually missing right now we haven't seen it in a while id b014
33,'gone girl' is missing we haven't seen it in a while id b014
34,'hades ii' is a digital game on brenna's steam account id g119
35,'hades' is digital it's in tom's steam library id g020
36,'halo infinite' is safe in brennas steam library id st018
37,'halo infinite' steam game is safe in brennas steam library id st018
38,'harry potter and the sorcerer's stone' was borrowed by emma id a003
39,'hifi rush' is a digital game on brenna's xbox game pass account id g124
40,'hogwarts legacy' is a ps5 game owned by brenna it's on the game shelf id g104
41,'hollow knight' is a digital game on steam that tom owns id g032
42,'inception' is a bluray owned by tom it's in the black dvd binder id d015
43,'inside out' is a dvd that brenna owns it should be in the kids' movie binder id d012
44,'inside out' is missing it was supposed to be in the kids' movie binder id d012
45,'interstellar' is a bluray tom's copy is in the dvd binder id d009
46,'killing eve' is a bluray set owned by brenna it's in the thriller section of the dvd shelf id d044
47,'lies of p' is a ps5 game owned by brenna it's on the game shelf id g112
48,'line of duty' is a bluray set owned by tom it's in the thriller section of the dvd shelf id d049
49,'mario kart' is a switch game that you both share it's in the game case id g022
50,'minecraft' is a digital game on tom's xbox account id g038
51,'moana' bluray is missing it was last seen in the kids' movie binder id d019
52,'moana' is a bluray owned by brenna it's in the kids' movie binder id d019
53,'mortal kombat 1' is a ps5 game owned by brenna it's on the game shelf id g114
54,'overwatch' is a digital game on tom's battlenet account id g035
55,'payday 3' is a digital game on tom's steam account id g120
56,'peaky blinders' is a digital series on tom's netflix account id s002
57,'phantom liberty' is a digital expansion on tom's steam account id g111
58,'pikmin 4' is a switch game owned by brenna it's in the game case id g115
59,'planet earth' is a bluray documentary owned by brenna it's in the nature section of the dvd shelf id d042
60,'portal 2' is a steam game that tom owns it's digital id g034
61,'pride and prejudice 1995' is a bluray set owned by brenna it's in the period drama section of the dvd shelf id d055
62,'remnant 2' is a digital game on tom's steam account id g116
63,'returnal' is a ps5 game owned by tom it's in the media cabinet id g123
64,'sekiro' is a ps5 game owned by tom it's in the game shelf id g037
65,'sherlock' is a bluray box set owned by tom it's in the black dvd binder id d039
66,'sonic superstars' is a switch game owned by brenna it's in the game case id g125
67,'spiderman 2' is a ps5 game owned by tom it's in the media cabinet id g103
68,'spooks' is a bluray set owned by brenna it's in the thriller section of the dvd shelf id d053
69,'starfield' is a digital game on tom's xbox game pass account id g101
70,'street fighter 6' is a ps5 game owned by tom it's in the media cabinet id g113
71,'super mario odyssey' is a switch game owned by brenna it's in the game case id g033
72,'tears of the kingdom' is a switch game owned by brenna it's in the game case id g105
73,'the alchemist' hardcover is currently missing from the bookshelf id b024
74,'the alchemist' is missing from the bookshelf last seen months ago id b024
75,'the avengers' bluray is missing it was last in the black dvd binder id d021
76,'the avengers' is a bluray owned by tom it's in the black dvd binder id d021
77,'the blue planet' bluray is missing it was last in the nature section of the dvd shelf id d046
78,'the blue planet' is a bluray documentary owned by tom it's in the nature section of the dvd shelf id d046
79,'the bodyguard' is a digital series on brenna's netflix account id s006
80,'the callisto protocol' is a ps5 game owned by tom it's in the media cabinet id g121
81,'the catcher in the rye' is with sarah she borrowed it last month id b019
