user_input,bot_response
"Hey\, where's the book 'Dune'?",search_media
Do we have 'Animal Crossing'?,search_media
Is 'The Last of Us Part II' a movie or a game?,search_media
Do we own 'Harry Potter and the Sorcerer's Stone'?,search_media
Where can I find 'Blade Runner 2049'?,search_media
Can I play 'Cyberpunk 2077' on the PS5?,search_media
Which Switch games does Brenna have?,search_media
What's the format for 'Pride and Prejudice'?,search_media
Do we still have 'The Matrix' DVD?,search_media
Do we have an audiobook version of 'Dune' too?,search_media
Who owns 'Red Dead Redemption 2'?,search_media
Where can I listen to 'Educated'?,search_media
Do we have 'Stardew Valley' anywhere?,search_media
Is 'The Hobbit' a real book or digital?,search_media
Where's our copy of 'Interstellar'?,search_media
What kind of media is 'Becoming'?,search_media
Does Tom have any digital games?,search_media
Where's 'Hades' saved?,search_media
Do we own any books by Jane Austen?,search_media
Is 'Ghost of Tsushima' in our collection?,search_media
Is 'Gone Girl' still around?,search_media
Who owns 'Celeste'?,search_media
Do we both have access to 'The Witcher 3'?,search_media
Did we lose 'The Great Gatsby'?,search_media
Where's 'Inside Out'?,search_media
Can I find 'The Subtle Art of Not Giving a F*ck' somewhere?,search_media
Who owns 'Mario Kart'?,search_media
Do we have 'The Catcher in the Rye'?,search_media
Where's 'The Legend of Zelda: Breath of the Wild'?,search_media
Can I watch 'Inception'?,search_media
Do we own 'The Alchemist'?,search_media
Who has 'Hollow Knight'?,search_media
Where can I find 'Frozen'?,search_media
Is '1984' still in our collection?,search_media
Do we have 'The Godfather'?,search_media
Can I listen to 'Atomic Habits'?,search_media
Where's 'Super Mario Odyssey'?,search_media
Do we still have 'The Hunger Games'?,search_media
Who owns 'Portal 2'?,search_media
Where can I watch 'The Lion King'?,search_media
Do we have 'The Road'?,search_media
Can I play 'Overwatch'?,search_media
Where's 'Moana'?,search_media
Do we own 'The Shining'?,search_media
Who has 'Dark Souls III'?,search_media
Where can I find 'Coco'?,search_media
Is 'The Kite Runner' in our collection?,search_media
Do we have 'Sekiro: Shadows Die Twice'?,search_media
Can I listen to 'Becoming'?,search_media
Where's 'The Avengers'?,search_media
Do we still have 'The Fault in Our Stars'?,search_media
Who owns 'Minecraft'?,search_media
Do we have 'Sherlock' on DVD?,search_media
Where can I find 'Doctor Who'?,search_media
Is 'Luther' in our collection?,search_media
Do we own 'The Office (UK)'?,search_media
Can I watch 'Peaky Blinders'?,search_media
Where's 'Planet Earth'?,search_media
Do we have 'Top Gear'?,search_media
Who owns 'The Great British Bake Off'?,search_media
Where can I find 'Killing Eve'?,search_media
Is 'Black Mirror' part of our collection?,search_media
Do we own 'The Crown'?,search_media
Can I watch 'Downton Abbey'?,search_media
Where's 'The Blue Planet'?,search_media
Do we have 'Torchwood'?,search_media
Who owns 'Call the Midwife'?,search_media
Where can I find 'Line of Duty'?,search_media
Is 'The IT Crowd' in our collection?,search_media
Do we own 'Fawlty Towers'?,search_media
Can I watch 'The Bodyguard'?,search_media
Where's 'The Thick of It'?,search_media
Do we have 'Spooks'?,search_media
Who owns 'The Vicar of Dibley'?,search_media
Where can I find 'Pride and Prejudice (1995)'?,search_media
Is 'The Night Manager' part of our collection?,search_media
Do we own 'The Outlaws'?,search_media
Do we have 'Starfield'?,search_media
Where's 'Baldur's Gate 3'?,search_media
Can I play 'Spider-Man 2'?,search_media
Who owns 'Hogwarts Legacy'?,search_media
Is 'The Legend of Zelda: Tears of the Kingdom' in our collection?,search_media
Do we have 'Elden Ring'?,search_media
Where can I find 'Final Fantasy XVI'?,search_media
Is 'Diablo IV' part of our collection?,search_media
Do we own 'Armored Core VI'?,search_media
Can I play 'Alan Wake 2'?,search_media
Where's 'Cyberpunk 2077: Phantom Liberty'?,search_media
Do we have 'Lies of P'?,search_media
Who owns 'Street Fighter 6'?,search_media
Is 'Mortal Kombat 1' in our collection?,search_media
Do we have 'Pikmin 4'?,search_media
Where can I find 'Remnant 2'?,search_media
Can I play 'Forza Motorsport'?,search_media
Do we own 'Assassin's Creed Mirage'?,search_media
Where's 'Hades II'?,search_media
Is 'Payday 3' part of our collection?,search_media
Do we have 'The Callisto Protocol'?,search_media
Who owns 'Dead Space (2023)'?,search_media
Can I play 'Returnal'?,search_media
Where's 'Hi-Fi Rush'?,search_media
Do we have 'Sonic Superstars'?,search_media
Where's 'The Great Gatsby'?,search_media
Do we still have 'Gone Girl'?,search_media
Who borrowed 'The Catcher in the Rye'?,search_media
Is 'The Hobbit' still here?,search_media
Where's 'The Matrix' DVD?,search_media
Do we have 'Harry Potter and the Sorcerer's Stone'?,search_media
Who has 'Cyberpunk 2077'?,search_media
Where's 'Blade Runner 2049'?,search_media
